Rama de enseñanza,Titulación,Hombre,Mujer,Total
INGENIERÍA Y ARQUITECTURA,Grado en Ingeniería de Materiales,104,45,149
INGENIERÍA Y ARQUITECTURA,Grado en Ingeniería de Organización Industrial,223,111,334
INGENIERÍA Y ARQUITECTURA,Grado en Ingeniería de Tecnologías Industriales,1086,388,1474
INGENIERÍA Y ARQUITECTURA,Grado en Ingeniería del Diseño Industrial y Desarrollo del Producto,248,395,643
INGENIERÍA Y ARQUITECTURA,Grado en Ingeniería Eléctrica,257,46,303
INGENIERÍA Y ARQUITECTURA,Grado en Ingeniería Electrónica Industrial,418,76,494
INGENIERÍA Y ARQUITECTURA,Grado en Ingeniería Electrónica, Robótica y Mecatrónica,295,66,361
INGENIERÍA Y ARQUITECTURA,Grado en Ingeniería Informática - Ingeniería de Computadores,454,54,508
INGENIERÍA Y ARQUITECTURA,Grado en Ingeniería Informática - Ingeniería del Software,1051,173,1224
INGENIERÍA Y ARQUITECTURA,Grado en Ingeniería Informática - Tecnologías Informáticas,615,118,733
INGENIERÍA Y ARQUITECTURA,Grado en Ingeniería Mecánica,549,71,620
INGENIERÍA Y ARQUITECTURA,Grado en Ingeniería Química,163,146,309
INGENIERÍA Y ARQUITECTURA,Grado en Ingeniería Química Industrial,145,137,282
INGENIERÍA Y ARQUITECTURA,Doble Grado en Ing. Eléctrica e Ing. Electrónica Industrial,89,20,109
INGENIERÍA Y ARQUITECTURA,Doble Grado en Ing. Eléctrica e Ing. Mecánica,73,59,132
INGENIERÍA Y ARQUITECTURA,Doble Grado en Ing. del Diseño Industrial y Desarrollo del Producto e Ing. Mecánica,109,10,119
