Curso,Media,NumEncuestas,Centro,Titulacion.x,Cod_Centro,Cod_Titulacion,Titulacion.y,Tasa_Rendimiento,Alumnos_Egresados,Matriculados_Rendimiento,Tasa_Abandono,Alumnos_Abandonan,Matriculados_Abandono
2020_2021,4.45,1.578,Facultad de Psicología,Grado en Psicología,13,176,Grado en Psicología,0.8864612853094432,58182,65634,0.13307984790874525,35,263
2020_2021,3.88,294,Facultad de Química,Grado en Química,22,177,Grado en Química,0.5650461538461539,20659,36562,0.2866666666666667,43,150
2020_2021,4.08,623,Facultad de Turismo y Finanzas,Grado en Finanzas y Contabilidad,7,161,Grado en Finanzas y Contabilidad,0.4859290054365206,36468,75048,0.5121359223300971,211,412
2020_2021,4.32,601,Facultad de Turismo y Finanzas,Grado en Turismo,7,179,Grado en Turismo,0.6821078664510606,43026,63078,0.32142857142857145,90,280
2020_2021,4.3,942,"Facultad Enfermería, Fisioterapia y
Podología",Grado en Enfermería,11,157,Grado en Enfermería,0.8990805957309532,50166,55797,0.2550607287449393,63,247
2020_2021,4.4,533,"Facultad Enfermería, Fisioterapia y
Podología",Grado en Fisioterapia,11,163,Grado en Fisioterapia,0.8882933849436753,17900,20151,0.25,25,100
2020_2021,4.43,285,"Facultad Enfermería, Fisioterapia y
Podología",Grado en Podología,11,175,Grado en Podología,0.8191318327974276,12228,14928,0.21428571428571427,15,70
2021_2022,4.66,127,Facultad de Filología,Grado en Estudios Árabes e Islámicos,16,181,Grado en Estudios Árabes e Islámicos,0.5785953177257525,2076,3588,0.3333333333333333,6,18
2021_2022,4.63,693,"Facultad Enfermería, Fisioterapia y
Podología",Grado en Podología,11,175,Grado en Podología,0.78340825500613,11502,14682,0.32857142857142857,23,70
2021_2022,4.6,1925,"Facultad Enfermería Fisioterapia y
Podología",Grado en Fisioterapia,11,163,Grado en Fisioterapia,0.862248811167357,16863,19557,0.2,24,120
2021_2022,4.58,4499,Facultad de Biología,Grado en Biología,5,153,Grado en Biología,0.7305172010297215,37458,51276,0.0845771144278607,17,201
2021_2022,4.51,206,Facultad de Filología,Grado en Lengua y Literatura Alemanas,16,185,Grado en Lengua y Literatura Alemanas,0.6253196930946292,2934,4692,0.32432432432432434,12,37
2021_2022,4.45,1277,Facultad de Geografía e Historia,Grado en Historia del Arte,4,167,Grado en Historia del Arte,0.5954394442766536,23658,39732,0.3647058823529411,62,170
2021_2022,4.44,464,Facultad de Derecho,Grado en Criminología,20,218,Grado en Criminología,0.9376316898440792,13350,14238,0.08333333333333333,5,60
2021_2022,4.44,1357,Facultad de Farmacia,Grado en Óptica y Optometría,19,223,Grado en Óptica y Optometría,0.8614970865082923,11532,13386,0.1,6,60
2021_2022,4.44,676,Facultad de Filosofía,Grado en Filosofía,12,160,Grado en Filosofía,0.7303578015492438,11880,16266,0.4153846153846154,27,65
2021_2022,4.44,2577,"Facultad Enfermería, Fisioterapia y
Podología",Grado en Enfermería,11,157,Grado en Enfermería,0.8797112219980889,49716,56514,0.17716535433070865,45,254
2021_2022,4.42,3779,Facultad de Psicología,Grado en Psicología,13,176,Grado en Psicología,0.8557292148339961,55518,64878,0.14232209737827714,38,267
2021_2022,4.41,1996,"Facultad de Ciencias de la
Educación",Grado en Educación Infantil,18,194,Grado en Educación Infantil,0.9772371255140004,39926,40856,0.04918032786885246,9,183
2021_2022,4.4,2061,Facultad de Derecho,Grado en Derecho,20,155,Grado en Derecho,0.674574852409904,91869,136188,0.14466546112115733,80,553
2021_2022,4.4,144,Facultad de Filología,Grado en Filología Clásica,16,184,Grado en Filología Clásica,0.6506329113924051,4626,7110,0.55,22,40
2021_2022,4.39,552,Facultad de Filología,Grado en Estudios Franceses,16,182,Grado en Estudios Franceses,0.5731277533039647,7806,13620,0.3108108108108108,23,74
2021_2022,4.38,1984,"Facultad de Ciencias de la
Educación","Grado en Ciencias de la Actividad Física
y del Deporte",18,154,Grado en Ciencias de la Actividad Física y del Deporte,0.8728833770569998,21960,25158,0.08943089430894309,11,123
2021_2022,4.38,1733,"Facultad de Ciencias de la
Educación",Grado en Pedagogía,18,174,Grado en Pedagogía,0.8997424892703862,31446,34950,0.07894736842105263,12,152
2021_2022,4.38,1088,Facultad de Comunicación,"Grado en Publicidad y Relaciones
Públicas",2,211,Grado en Publicidad y Relaciones Públicas,0.9005129112133003,30549,33924,0.0979020979020979,14,143
2021_2022,4.38,2260,Facultad de Turismo y Finanzas,Grado en Turismo,7,179,Grado en Turismo,0.5993550987505039,35688,59544,0.3020833333333333,87,288
2021_2022,4.37,1252,Facultad de Filología,Grado en Filología Hispánica,16,159,Grado en Filología Hispánica,0.5575966322234979,17484,31356,0.29457364341085274,38,129
2021_2022,4.36,1993,Facultad de Turismo y Finanzas,Grado en Finanzas y Contabilidad,7,161,Grado en Finanzas y Contabilidad,0.43134704495569465,31836,73806,0.5037783375314862,200,397
2021_2022,4.35,921,E.T.S. Ingeniería Informática,Grado en Ingeniería Informática-Ingeniería de Computadores,3,204,Grado en Ingeniería Informática-Ingeniería de Computadores,0.4810625986322988,10974,22812,0.5689655172413793,66,116
2021_2022,4.35,3387,"Facultad de CC. Económicas y
Empresariales","Grado en Administración y Dirección de
Empresas",1,151,Grado en Administración y Dirección de Empresas,0.5328775172266439,59856,112326,0.374749498997996,187,499
2021_2022,4.34,1251,Facultad de Matemáticas,Grado en Matemáticas,17,171,Grado en Matemáticas,0.6769792162462319,25602,37818,0.13013698630136986,19,146
2021_2022,4.34,1986,Facultad de Química,Grado en Química,22,177,Grado en Química,0.6022139921045134,22195,36856,0.1917808219178082,28,146
2021_2022,4.33,2047,Facultad de Bellas Artes,Grado en Bellas Artes,21,190,Grado en Bellas Artes,0.8629832617390016,34956,40506,0.15254237288135594,27,177
2021_2022,4.33,6277,"Facultad de Ciencias de la
Educación",Grado en Educación Primaria,18,195,Grado en Educación Primaria,0.8888988083685906,114503,128815,0.1068702290076336,56,524
2021_2022,4.32,1173,Facultad de Comunicación,Grado en Comunicación Audiovisual,2,192,Grado en Comunicación Audiovisual,0.8978167501789549,30102,33528,0.0783132530120482,13,166
2021_2022,4.32,1240,Facultad de Medicina,"Grado en Biomedicina Básica y
Experimental",14,217,Grado en Biomedicina Básica y Experimental,0.9151492159838138,10855,11862,0.15384615384615383,8,52
2021_2022,4.31,156,Facultad de Geografía e Historia,Grado en Antropología Social y Cultural,4,188,Grado en Antropología Social y Cultural,0.6169491525423729,5460,8850,0.4107142857142857,23,56
2021_2022,4.3,2196,E.T.S. de Ingeniería,"Grado en Ingeniería de Tecnologías
Industriales",45,203,Grado en Ingeniería de Tecnologías Industriales,0.5847917108842882,45462,77740,0.14885496183206107,39,262
2021_2022,4.3,1403,"Facultad de CC. Económicas y
Empresariales",Grado en Economía,1,156,Grado en Economía,0.5472289499928765,23046,42114,0.28402366863905326,48,169
2021_2022,4.29,848,Escuela Politécnica Superior,Grado en Ingeniería Química Industrial,23,209,Grado en Ingeniería Química Industrial,0.4198943661971831,5724,13632,0.5161290322580645,32,62
2021_2022,4.29,747,Facultad de Bellas Artes,"Grado en Conservación y Restauración de
Bienes Culturales",21,193,Grado en Conservación y Restauración de Bienes Culturales,0.8431183830606352,10512,12468,0.1904761904761905,12,63
2021_2022,4.28,988,E.T.S. Ingeniería Informática,Grado en Ingeniería Informática-Tecnologías Informáticas,3,206,Grado en Ingeniería Informática-Tecnologías Informáticas,0.5296554009277668,19182,36216,0.3660130718954248,56,153
2021_2022,4.27,770,Facultad de Física,Grado en Física,6,162,Grado en Física,0.6265682656826568,15282,24390,0.21929824561403508,25,114
2021_2022,4.27,292,Facultad de Física,Grado en Ingeniería de Materiales,6,222,Grado en Ingeniería de Materiales,0.5499617151607963,4309,7836,0.2765957446808511,13,47
2021_2022,4.26,462,E.T.S. de Ingeniería,Grado en Ingeniería Química,45,208,Grado en Ingeniería Química,0.4543893129770992,7143,15720,0.3559322033898305,21,59
2021_2022,4.26,1199,Facultad de Ciencias del Trabajo,"Grado en Relaciones Laborales y
Recursos Humanos",8,178,Grado en Relaciones Laborales y Recursos Humanos,0.5955476958285655,34350,57678,0.20361990950226244,45,221
2021_2022,4.26,1851,Facultad de Filología,Grado en Estudios Ingleses,16,183,Grado en Estudios Ingleses,0.6657364341085271,25764,38700,0.2602739726027397,38,146
2021_2022,4.24,1563,E.T.S. de Ingeniería,Grado en Ingeniería Aeroespacial,45,197,Grado en Ingeniería Aeroespacial,0.6413161182840483,23097,36015,0.1015625,13,128
2021_2022,4.23,465,Escuela Politécnica Superior,Grado en Ingeniería Eléctrica,23,200,Grado en Ingeniería Eléctrica,0.3720218579234973,5106,13725,0.5694444444444444,41,72
2021_2022,4.23,1245,Escuela Politécnica Superior,"Grado en Ingeniería en Diseño Industrial
y Desarrollo del Producto",23,202,Grado en Ingeniería en Diseño Industrial y Desarrollo del Producto,0.5602803295766644,17748,31677,0.2066115702479339,25,121
2021_2022,4.21,411,E.T.S. de Ingeniería,Grado en Ingeniería Civil,45,225,Grado en Ingeniería Civil,0.4804619032889989,6990,14548,0.5806451612903226,36,62
2021_2022,4.21,1265,"Facultad de CC. Económicas y
Empresariales","Grado en Marketing e Investigación de
Mercados",1,180,Grado en Marketing e Investigación de Mercados,0.7419833178869324,24018,32370,0.2846715328467153,39,137
2021_2022,4.2,1031,E.T.S. de Ingeniería,"Grado en Ingeniería de las Tecnologías de
Telecomunicación",45,199,Grado en Ingeniería de las Tecnologías de Telecomunicación,0.4895498727629219,17602,35956,0.3359375,43,128
2021_2022,4.19,932,Escuela Politécnica Superior,Grado en Ingeniería Electrónica Industrial,23,201,Grado en Ingeniería Electrónica Industrial,0.3632583170254403,8910,24528,0.43103448275862066,50,116
2021_2022,4.19,1365,Facultad de Geografía e Historia,Grado en Historia,4,166,Grado en Historia,0.628755659212512,27498,43734,0.2222222222222222,40,180
2021_2022,4.14,1317,Escuela Politécnica Superior,Grado en Ingeniería Mecánica,23,207,Grado en Ingeniería Mecánica,0.46626865671641793,14058,30150,0.319672131147541,39,122
2021_2022,4.12,1994,Facultad de Comunicación,Grado en Periodismo,2,210,Grado en Periodismo,0.7795940607546655,51507,66069,0.1010452961672474,29,287
2021_2022,4.11,3807,E.T.S. Ingeniería Informática,Grado en Ingeniería Informática-Ingeniería del Software,3,205,Grado en Ingeniería Informática-Ingeniería del Software,0.686593492747942,42036,61224,0.20168067226890757,48,238
2021_2022,4.07,791,E.T.S. de Ingeniería,"Grado en Ingeniería Electrónica, Robótica
y Mecatrónica (UMA-US)",45,228,"Grado en Ingeniería Electrónica, Robótica y Mecatrónica (UMA-US)",0.661689145793192,12363,18684,0.14666666666666667,11,75
