Curso,Media,NumEncuestas,Centro,Titulacion.x,Cod_Centro,Cod_Titulacion,Titulacion.y,Tasa_Rendimiento,Alumnos_Egresados,Matriculados_Rendimiento,Tasa_Abandono,Alumnos_Abandonan,Matriculados_Abandono
2019_2020,3.81,1083,Escuela Politécnica Superior,Grado en Ingeniería Mecánica,23,207,Grado en Ingeniería Mecánica,0.5986980260394792,17106,28572,0.2411764705882353,41,170
2019_2020,4.08,838,Escuela Politécnica Superior,Grado en Ingeniería Química Industrial,23,209,Grado en Ingeniería Química Industrial,0.5340715502555367,7524,14088,0.47619047619047616,40,84
2019_2020,4.13,1281,E.T.S. de Ingeniería,Grado en Ingeniería Aeroespacial,45,197,Grado en Ingeniería Aeroespacial,0.7080030840400925,34435,48637,0.1796875,23,128
2019_2020,3.88,453,E.T.S. de Ingeniería,Grado en Ingeniería Civil,45,225,Grado en Ingeniería Civil,0.5960849844831702,11236,18850,0.375,27,72
2019_2020,4.14,1756,E.T.S. de Ingeniería,"Grado en Ingeniería de las Tecnologías de
Telecomunicación",45,199,Grado en Ingeniería de las Tecnologías de Telecomunicación,0.5612576797976148,23295,41505,0.2765957446808511,39,141
2019_2020,4.11,2520,E.T.S. de Ingeniería,"Grado en Ingeniería de Tecnologías
Industriales",45,203,Grado en Ingeniería de Tecnologías Industriales,0.6700861048576137,86616,129261,0.14615384615384616,38,260
2019_2020,4.07,853,E.T.S. de Ingeniería,"Grado en Ingeniería Electrónica, Robótica y
Mecatrónica (UMA-US)",45,228,"Grado en Ingeniería Electrónica, Robótica y Mecatrónica (UMA-US)",0.7300920050761421,13807,18912,0.15492957746478872,11,71
2019_2020,3.86,397,E.T.S. de Ingeniería,Grado en Ingeniería Química,45,208,Grado en Ingeniería Química,0.6303877517057747,11364,18027,0.31746031746031744,20,63
2019_2020,3.89,793,E.T.S. Ingeniería Informática,"Grado en Ingeniería Informática-Ingeniería de
Computadores",3,204,Grado en Ingeniería Informática-Ingeniería de Computadores,0.5455844527007716,11454,20994,0.5833333333333334,63,108
2019_2020,4.05,2918,E.T.S. Ingeniería Informática,"Grado en Ingeniería Informática-Ingeniería
del Software",3,205,Grado en Ingeniería Informática-Ingeniería del Software,0.7719072164948454,46722,60528,0.2897959183673469,71,245
